,ONI,Z_ONI,D_EN,D_LN
1950-01-01,-1.53,-1.8470780200854715,0,1
1950-02-01,-1.34,-1.6222895057913889,0,1
1950-03-01,-1.16,-1.4093319659338366,0,1
1950-04-01,-1.18,-1.432993914806898,0,1
1950-05-01,-1.07,-1.3028531960050607,0,1
1950-06-01,-0.85,-1.0425717584013858,0,1
1950-07-01,-0.54,-0.6758115508689353,0,1
1950-08-01,-0.42,-0.5338398576305672,0,0
1950-09-01,-0.39,-0.49834693432097515,0,0
1950-10-01,-0.44,-0.5575018065036285,0,0
1950-11-01,-0.6,-0.7467973974881192,0,1
1950-12-01,-0.8,-0.9834168862187327,0,1
1951-01-01,-0.82,-1.0070788350917939,0,1
1951-02-01,-0.54,-0.6758115508689353,0,1
1951-03-01,-0.17,-0.23806549671730046,0,0
1951-04-01,0.18,0.17601860856127297,0,0
1951-05-01,0.36,0.388976148418825,0,0
1951-06-01,0.58,0.6492575860224996,1,0
1951-07-01,0.7,0.7912292792608676,1,0
1951-08-01,0.89,1.0160177935549504,1,0
1951-09-01,0.99,1.134327537920257,1,0
1951-10-01,1.15,1.3236231289047475,1,0
1951-11-01,1.04,1.1934824101029105,1,0
1951-12-01,0.81,0.921369998062705,1,0
1952-01-01,0.53,0.5901027138398464,1,0
1952-02-01,0.37,0.40080712285535564,0,0
1952-03-01,0.34,0.36531419954576366,0,0
1952-04-01,0.29,0.3061593273631103,0,0
1952-05-01,0.2,0.19968055743433433,0,0
1952-06-01,0.0,-0.03693893129627908,0,0
1952-07-01,-0.08,-0.13158672678852443,0,0
1952-08-01,0.0,-0.03693893129627908,0,0
1952-09-01,0.15,0.14052568525168094,0,0
1952-10-01,0.1,0.0813708130690276,0,0
1952-11-01,0.04,0.010384966449843594,0,0
1952-12-01,0.15,0.14052568525168094,0,0
1953-01-01,0.4,0.4363000461649477,0,0
1953-02-01,0.6,0.672919534895561,1,0
1953-03-01,0.63,0.708412458205153,1,0
1953-04-01,0.66,0.7439053815147451,1,0
1953-05-01,0.75,0.850384151443521,1,0
1953-06-01,0.77,0.8740461003165824,1,0
1953-07-01,0.75,0.850384151443521,1,0
1953-08-01,0.73,0.8267222025704597,1,0
1953-09-01,0.78,0.8858770747531131,1,0
1953-10-01,0.84,0.956862921372297,1,0
1953-11-01,0.84,0.956862921372297,1,0
1953-12-01,0.81,0.921369998062705,1,0
1954-01-01,0.76,0.8622151258800517,1,0
1954-02-01,0.47,0.5191168672206623,0,0
1954-03-01,-0.05,-0.09609380347893243,0,0
1954-04-01,-0.41,-0.5220088831940365,0,0
1954-05-01,-0.54,-0.6758115508689353,0,1
1954-06-01,-0.5,-0.6284876531228125,0,1
1954-07-01,-0.64,-0.7941212952342419,0,1
1954-08-01,-0.84,-1.0307407839648552,0,1
1954-09-01,-0.9,-1.1017266305840394,0,1
1954-10-01,-0.77,-0.9479239629091406,0,1
1954-11-01,-0.73,-0.9006000651630179,0,1
1954-12-01,-0.66,-0.8177832441073033,0,1
1955-01-01,-0.68,-0.8414451929803647,0,1
1955-02-01,-0.62,-0.7704593463611806,0,1
1955-03-01,-0.69,-0.8532761674168952,0,1
1955-04-01,-0.8,-0.9834168862187327,0,1
1955-05-01,-0.79,-0.971585911782202,0,1
1955-06-01,-0.72,-0.8887690907264872,0,1
1955-07-01,-0.68,-0.8414451929803647,0,1
1955-08-01,-0.75,-0.9242620140360793,0,1
1955-09-01,-1.09,-1.326515144878122,0,1
1955-10-01,-1.42,-1.716937301283634,0,1
1955-11-01,-1.67,-2.012711662196901,0,1
1955-12-01,-1.47,-1.7760921734662873,0,1
1956-01-01,-1.11,-1.3501770937511834,0,1
1956-02-01,-0.76,-0.9360929884726099,0,1
1956-03-01,-0.63,-0.7822903207977112,0,1
1956-04-01,-0.54,-0.6758115508689353,0,1
1956-05-01,-0.52,-0.6521496019958739,0,1
1956-06-01,-0.51,-0.6403186275593432,0,1
1956-07-01,-0.57,-0.7113044741785272,0,1
1956-08-01,-0.55,-0.687642525305466,0,1
1956-09-01,-0.46,-0.5811637553766899,0,0
1956-10-01,-0.42,-0.5338398576305672,0,0
1956-11-01,-0.43,-0.5456708320670978,0,0
1956-12-01,-0.43,-0.5456708320670978,0,0
1957-01-01,-0.25,-0.33271329220954576,0,0
1957-02-01,0.06,0.03404691532290493,0,0
1957-03-01,0.41,0.4481310206014783,0,0
1957-04-01,0.72,0.814891228133929,1,0
1957-05-01,0.92,1.0515107168645423,1,0
1957-06-01,1.11,1.2762992311586252,1,0
1957-07-01,1.25,1.4419328732700545,1,0
1957-08-01,1.32,1.5247496943257692,1,0
1957-09-01,1.33,1.5365806687622998,1,0
1957-10-01,1.39,1.6075665153814838,1,0
1957-11-01,1.53,1.7732001574929133,1,0
1957-12-01,1.74,2.0216506206600573,1,0
1958-01-01,1.81,2.104467441715772,1,0
1958-02-01,1.66,1.9270028251678117,1,0
1958-03-01,1.27,1.4655948221431159,1,0
1958-04-01,0.93,1.0633416913010731,1,0
1958-05-01,0.74,0.8385531770069903,1,0
1958-06-01,0.64,0.7202434326416837,1,0
1958-07-01,0.57,0.6374266115859689,1,0
1958-08-01,0.43,0.4717929694745397,0,0
1958-09-01,0.39,0.424469071728417,0,0
1958-10-01,0.44,0.48362394391107033,0,0
1958-11-01,0.5,0.5546097905302544,1,0
1958-12-01,0.61,0.6847505093320916,1,0
1959-01-01,0.61,0.6847505093320916,1,0
1959-02-01,0.62,0.6965814837686223,1,0
1959-03-01,0.52,0.5782717394033157,1,0
1959-04-01,0.33,0.353483225109233,0,0
1959-05-01,0.2,0.19968055743433433,0,0
1959-06-01,-0.07,-0.11975575235199377,0,0
1959-07-01,-0.18,-0.2498964711538311,0,0
1959-08-01,-0.28,-0.3682062155191378,0,0
1959-09-01,-0.09,-0.1434177012250551,0,0
1959-10-01,-0.03,-0.0724318546058711,0,0
1959-11-01,0.05,0.022215940886374266,0,0
1959-12-01,-0.04,-0.08426282904240175,0,0
1960-01-01,-0.1,-0.15524867566158576,0,0
1960-02-01,-0.1,-0.15524867566158576,0,0
1960-03-01,-0.07,-0.11975575235199377,0,0
1960-04-01,0.03,-0.0014460079866870771,0,0
1960-05-01,0.02,-0.013276982423217744,0,0
1960-06-01,0.03,-0.0014460079866870771,0,0
1960-07-01,0.13,0.1168637363786196,0,0
1960-08-01,0.24,0.24700445518045697,0,0
1960-09-01,0.27,0.282497378490049,0,0
1960-10-01,0.2,0.19968055743433433,0,0
1960-11-01,0.12,0.10503276194208894,0,0
1960-12-01,0.05,0.022215940886374266,0,0
1961-01-01,0.04,0.010384966449843594,0,0
1961-02-01,0.03,-0.0014460079866870771,0,0
1961-03-01,0.04,0.010384966449843594,0,0
1961-04-01,0.09,0.06953983863249692,0,0
1961-05-01,0.23,0.23517348074392633,0,0
1961-06-01,0.27,0.282497378490049,0,0
1961-07-01,0.14,0.1286947108151503,0,0
1961-08-01,-0.13,-0.19074159897117776,0,0
1961-09-01,-0.3,-0.3918681643921991,0,0
1961-10-01,-0.26,-0.34454426664607646,0,0
1961-11-01,-0.19,-0.26172744559036176,0,0
1961-12-01,-0.16,-0.22623452228076976,0,0
1962-01-01,-0.24,-0.3208823177730151,0,0
1962-02-01,-0.22,-0.2972203688999538,0,0
1962-03-01,-0.2,-0.27355842002689246,0,0
1962-04-01,-0.26,-0.34454426664607646,0,0
1962-05-01,-0.28,-0.3682062155191378,0,0
1962-06-01,-0.2,-0.27355842002689246,0,0
1962-07-01,-0.04,-0.08426282904240175,0,0
1962-08-01,-0.07,-0.11975575235199377,0,0
1962-09-01,-0.11,-0.16707965009811643,0,0
1962-10-01,-0.22,-0.2972203688999538,0,0
1962-11-01,-0.31,-0.40369913882872976,0,0
1962-12-01,-0.43,-0.5456708320670978,0,0
1963-01-01,-0.4,-0.5101779087575058,0,0
1963-02-01,-0.15,-0.2144035478442391,0,0
1963-03-01,0.15,0.14052568525168094,0,0
1963-04-01,0.27,0.282497378490049,0,0
1963-05-01,0.31,0.32982127623617163,0,0
1963-06-01,0.52,0.5782717394033157,1,0
1963-07-01,0.86,0.9805248702453584,1,0
1963-08-01,1.14,1.311792154468217,1,0
1963-09-01,1.22,1.4064399499604623,1,0
1963-10-01,1.29,1.489256771016177,1,0
1963-11-01,1.37,1.5839045665084226,1,0
1963-12-01,1.31,1.5129187198892384,1,0
1964-01-01,1.07,1.2289753334125024,1,0
1964-02-01,0.62,0.6965814837686223,1,0
1964-03-01,0.12,0.10503276194208894,0,0
1964-04-01,-0.33,-0.42736108770179115,0,0
1964-05-01,-0.58,-0.7231354486150579,0,1
1964-06-01,-0.58,-0.7231354486150579,0,1
1964-07-01,-0.6,-0.7467973974881192,0,1
1964-08-01,-0.66,-0.8177832441073033,0,1
1964-09-01,-0.76,-0.9360929884726099,0,1
1964-10-01,-0.8,-0.9834168862187327,0,1
1964-11-01,-0.82,-1.0070788350917939,0,1
1964-12-01,-0.78,-0.9597549373456713,0,1
1965-01-01,-0.59,-0.7349664230515885,0,1
1965-02-01,-0.28,-0.3682062155191378,0,0
1965-03-01,-0.07,-0.11975575235199377,0,0
1965-04-01,0.18,0.17601860856127297,0,0
1965-05-01,0.46,0.5072858927841317,0,0
1965-06-01,0.83,0.9450319469357663,1,0
1965-07-01,1.22,1.4064399499604623,1,0
1965-08-01,1.54,1.7850311319294438,1,0
1965-09-01,1.85,2.151791339461895,1,0
1965-10-01,1.98,2.305594007136793,1,0
1965-11-01,1.97,2.2937630327002627,1,0
1965-12-01,1.72,1.997988671786996,1,0
1966-01-01,1.37,1.5839045665084226,1,0
