region,component,beta_pos,sig_bp,beta_neg,sig_bn,gamma_per_decade,sig_g,wald_pval,R2,DW,LB12_pval,JB_pval
colombia,t90,0.456,***,0.282,,0.554,***,0.3757,0.811,1.992,0.0,0.0
colombia,t10,-0.217,***,-0.391,***,-0.167,***,0.0754,0.538,2.025,0.0997,0.0
colombia,drought,-0.007,,0.005,,0.092,**,0.1077,0.969,2.803,0.0,0.0
colombia,wind,-0.098,,-0.04,,0.082,***,0.4796,0.088,1.997,0.3596,0.0
colombia,precipitation,-0.051,,-0.139,**,0.028,*,0.2615,0.082,1.999,0.1132,0.2595
colombia,aci,0.088,*,0.103,*,0.184,***,0.7992,0.793,2.005,0.0016,0.0033
antioquia,t90,0.596,***,0.453,**,0.882,***,0.495,0.855,1.997,0.0,0.0
antioquia,t10,-0.143,*,-0.538,***,-0.204,***,0.0002,0.568,2.032,0.0136,0.0
antioquia,drought,-0.025,,0.007,,0.416,***,0.1188,0.994,2.44,0.0,0.0
antioquia,wind,0.134,*,0.01,,0.118,***,0.212,0.175,1.999,0.1093,0.0
antioquia,precipitation,-0.084,,-0.286,***,-0.009,,0.0315,0.09,2.001,0.0696,0.0
antioquia,aci,0.108,**,0.143,**,0.321,***,0.5796,0.872,2.016,0.0006,0.006
cundinamarca_bogota,t90,0.63,***,0.278,,0.469,***,0.0705,0.747,2.014,0.0,0.0
cundinamarca_bogota,t10,-0.215,**,-0.322,***,-0.168,***,0.351,0.413,2.039,0.0033,0.0
cundinamarca_bogota,drought,-0.014,,0.004,,0.173,**,0.1189,0.983,2.717,0.0,0.0
cundinamarca_bogota,wind,0.12,*,0.262,***,0.037,*,0.1929,0.102,2.005,0.1184,0.0
cundinamarca_bogota,precipitation,-0.098,,-0.225,***,0.011,,0.2331,0.073,1.998,0.3258,0.0
cundinamarca_bogota,aci,0.161,***,0.104,*,0.17,***,0.3972,0.721,2.021,0.0,0.0227
valle_cauca,t90,0.607,***,0.584,***,0.787,***,0.9058,0.861,2.02,0.2615,0.0
valle_cauca,t10,-0.141,,-0.272,***,-0.192,***,0.2933,0.595,2.049,0.0006,0.0
valle_cauca,drought,0.005,,0.001,,-0.019,,0.611,0.988,2.655,0.0,0.0
valle_cauca,wind,-0.199,*,-0.309,***,0.061,**,0.3423,0.242,2.0,0.3234,0.0
valle_cauca,precipitation,0.058,,-0.175,**,0.016,,0.0156,0.073,1.995,0.0701,0.0001
valle_cauca,aci,0.149,***,0.091,*,0.205,***,0.3489,0.786,2.013,0.4892,0.1823
