Year,Value_mm,Flag1,Flag2
1941.0417,2725,0,0
1941.125,2755,0,0
1941.2083,2670,0,0
1941.2917,2740,0,0
1941.375,2774,0,0
1941.4583,2737,0,0
1941.5417,2798,0,0
1941.625,2832,0,0
1941.7083,2838,0,0
1941.7917,2844,0,0
1941.875,2835,0,0
1941.9583,2859,0,0
1942.0417,2691,0,0
1942.125,2640,0,0
1942.2083,2643,0,0
1942.2917,2734,0,0
1942.375,2752,0,0
1942.4583,2768,0,0
1942.5417,2768,0,0
1942.625,2755,0,0
1942.7083,2771,0,0
1942.7917,2783,0,0
1942.875,2780,0,0
1942.9583,2752,0,0
1943.0417,2743,0,0
1943.125,2603,0,0
1943.2083,2566,0,0
1943.2917,2643,0,0
1943.375,2771,0,0
1943.4583,2832,0,0
1943.5417,2783,0,0
1943.625,2722,0,0
1943.7083,2734,0,0
1943.7917,2755,0,0
1943.875,2768,0,0
1943.9583,2716,0,0
1944.0417,2621,0,0
1944.125,2576,0,0
1944.2083,2609,0,0
1944.2917,2670,0,0
1944.375,2752,0,0
1944.4583,2761,0,0
1944.5417,2774,0,0
1944.625,2740,0,0
1944.7083,2725,0,0
1944.7917,2765,0,0
1944.875,2746,0,0
1944.9583,2734,0,0
1945.0417,2618,0,0
1945.125,2554,0,0
1945.2083,2496,0,0
1945.2917,2560,0,0
1945.375,2704,0,0
1945.4583,2825,0,0
1945.5417,2749,0,0
1945.625,2725,0,0
1945.7083,2755,0,0
1945.7917,2704,0,0
1945.875,2746,0,0
1945.9583,2737,0,0
1946.0417,2710,0,0
1946.125,2591,0,0
1946.2083,2512,0,0
1946.2917,2621,0,0
1946.375,2758,0,0
1946.4583,2771,0,0
1946.5417,2685,0,0
1946.625,2710,0,0
1946.7083,2710,0,0
1946.7917,2743,0,0
1946.875,2752,0,0
1946.9583,2795,0,0
1948.0417,2734,0,0
1948.125,2658,0,0
1948.2083,2652,0,0
1948.2917,2670,0,0
1948.375,2743,0,0
1948.4583,2731,0,0
1948.5417,2737,0,0
