Year,Value_mm,Flag1,Flag2
1949.0417,146,0,0
1949.125,162,0,0
1949.2083,229,0,0
1949.2917,192,0,0
1949.375,247,0,0
1949.4583,253,0,0
1949.5417,232,0,0
1949.625,293,0,0
1949.7083,271,0,0
1949.7917,341,0,0
1949.875,387,0,0
1949.9583,250,0,0
1950.0417,165,0,0
1950.125,223,0,0
1950.2083,207,0,0
1950.2917,183,0,0
1950.375,226,0,0
1950.4583,280,0,0
1950.5417,259,0,0
1950.625,296,0,0
1950.7083,305,0,0
1950.7917,329,0,0
1950.875,369,0,0
1950.9583,320,0,0
1951.0417,198,0,0
1951.125,207,0,0
1951.2083,168,0,0
1951.2917,262,0,0
1951.375,287,0,0
1951.4583,287,0,0
1951.5417,250,0,0
1951.625,265,0,0
1951.7083,290,0,0
1951.7917,351,0,0
1951.875,302,0,0
1951.9583,226,0,0
1952.0417,174,0,0
1952.125,256,0,0
1952.2083,210,0,0
1952.2917,192,0,0
1952.375,290,0,0
1952.4583,274,0,0
1952.5417,253,0,0
1952.625,274,0,0
1952.7083,375,0,0
1952.7917,433,0,0
1952.875,323,0,0
1952.9583,296,0,0
1953.0417,229,0,0
1953.125,180,0,0
1953.2083,207,0,0
1953.2917,223,0,0
1953.375,259,0,0
1953.4583,277,0,0
1953.5417,190,0,0
1953.625,274,0,0
1953.7083,341,0,0
1953.7917,317,0,0
1953.875,332,0,0
1953.9583,320,0,0
1954.0417,192,0,0
1954.125,232,0,0
1954.2083,229,0,0
1954.2917,244,0,0
1954.375,277,0,0
1954.4583,259,0,0
1954.5417,256,0,0
1954.625,271,0,0
1954.7083,366,0,0
1954.7917,393,0,0
1954.875,344,0,0
1954.9583,244,0,0
1955.0417,232,0,0
1955.125,293,0,0
1955.2083,216,0,0
1955.2917,204,0,0
1955.375,296,0,0
1955.4583,283,0,0
1955.5417,259,0,0
1955.625,308,0,0
1955.7083,338,0,0
1955.7917,415,0,0
1955.875,332,0,0
1955.9583,271,0,0
1956.0417,265,0,0
1956.125,189,0,0
1956.2083,213,0,0
1956.2917,265,0,0
1956.375,317,0,0
1956.4583,280,0,0
1956.5417,216,0,0
1956.625,265,0,0
1956.7083,387,0,0
1956.7917,354,0,0
1956.875,369,0,0
1956.9583,238,0,0
1957.0417,143,0,0
1957.125,223,0,0
1957.2083,213,0,0
1957.2917,207,0,0
1957.375,238,0,0
1957.4583,335,0,0
1957.5417,280,0,0
1957.625,326,0,0
1957.7083,366,0,0
1957.7917,405,0,0
1957.875,366,0,0
1957.9583,335,0,0
1958.0417,323,0,0
1958.125,277,0,0
1958.2083,259,0,0
1958.2917,296,0,0
1958.375,311,0,0
1958.4583,296,0,0
1958.5417,283,0,0
