Year,Value_mm,Flag1,Flag2
1953.0417,1390,99,0
1953.125,1323,0,0
1953.2083,1356,0,0
1953.2917,1436,0,0
1953.375,1530,0,0
1953.4583,1558,0,0
1953.5417,1414,99,0
1953.625,1457,0,0
1953.7083,1561,0,0
1953.7917,1539,0,0
1953.875,1536,0,0
1953.9583,1487,0,0
1954.0417,1292,0,0
1954.125,1436,0,0
1954.2083,1433,0,0
1954.2917,1457,0,0
1954.375,1515,0,0
1954.4583,1494,0,0
1954.5417,1454,0,0
1954.625,1442,0,0
1954.7083,1594,0,0
1954.7917,1649,0,0
1954.875,1533,0,0
1954.9583,1430,0,0
1955.0417,1414,0,0
1955.125,1430,0,0
1955.2083,1326,0,0
1955.2917,1359,0,0
1955.375,1490,0,0
1955.4583,1481,0,0
1955.5417,1460,0,0
1955.625,1524,0,0
1955.7083,1591,0,0
1955.7917,1695,0,0
1955.875,1509,0,0
1955.9583,1399,0,0
1956.0417,1423,0,0
1956.125,1323,0,0
1956.2083,1353,0,0
1956.2917,1393,0,0
1956.375,1460,0,0
1956.4583,1423,0,0
1956.5417,1305,0,0
1956.625,1411,0,0
1956.7083,1561,0,0
1956.7917,1564,0,0
1956.875,1558,0,0
1956.9583,1329,0,0
1957.0417,1231,0,0
1957.125,1301,0,0
1957.2083,1344,0,0
1957.2917,1292,0,0
1957.375,1378,0,0
1957.4583,1487,0,0
1958.2083,1308,0,0
1958.2917,1344,0,0
1958.5417,1289,0,0
1958.625,1402,0,0
1958.7083,1503,0,0
1958.7917,1515,0,0
1958.875,1384,0,0
1958.9583,1283,0,0
1959.0417,1271,0,1
1959.125,1085,0,1
1959.2083,1338,0,1
1959.2917,1445,0,1
1959.375,1448,0,1
1959.4583,1378,0,1
1959.5417,1362,0,1
1959.625,1408,0,1
1959.7083,1515,0,1
1959.7917,1545,0,1
1959.875,1494,0,1
1959.9583,1417,99,1
1960.0417,1320,0,0
1960.125,1448,0,0
1960.2083,1384,0,0
1960.2917,1442,0,0
1960.375,1466,0,0
1960.4583,1503,0,0
1960.5417,1484,0,0
1960.625,1457,0,0
1960.7083,1521,0,0
1960.7917,1551,0,0
1960.875,1484,0,0
1960.9583,1451,0,0
1961.0417,1430,0,0
1961.125,1426,99,0
1961.2083,1445,99,0
1961.2917,1439,99,0
1961.375,1454,0,0
1961.4583,1423,0,0
1961.5417,1423,0,0
1961.625,1451,0,0
1961.7083,1518,0,0
1961.7917,1622,0,0
1961.875,1579,0,0
1961.9583,1417,0,0
1962.0417,1338,0,0
1962.125,1338,0,0
1962.2083,1372,0,0
1962.2917,1356,0,0
1962.375,1484,0,0
1962.4583,1484,0,0
1962.5417,1399,0,0
1962.625,1509,0,0
1962.7083,1558,0,0
1962.7917,1564,0,0
