Year,Value_mm,Flag1,Flag2
1997.125,6912,11,0
1997.2083,6849,0,0
1997.2917,6794,0,0
1997.375,6817,1,0
1997.4583,6826,3,0
1997.5417,6860,4,0
1997.625,6873,0,0
1997.7083,6849,0,0
1997.7917,6754,0,0
1997.875,6928,0,0
1997.9583,6926,4,0
1998.0417,6826,0,0
1998.125,6759,0,0
1998.2083,6844,5,0
1998.375,6875,0,0
1998.4583,6764,0,0
1998.5417,6842,0,0
1998.625,6752,0,0
1998.7083,6789,0,0
1998.7917,6796,0,0
1998.875,6874,0,0
1998.9583,6730,0,0
1999.0417,6751,0,0
1999.125,6882,0,0
1999.2083,6863,0,0
1999.2917,6827,0,0
1999.375,6800,0,0
1999.625,6801,0,0
1999.7083,6815,12,0
1999.7917,6780,0,0
1999.875,6791,7,0
2000.875,6863,6,0
2000.9583,6762,10,0
2001.125,6873,4,0
2001.2083,6941,0,0
2001.2917,6975,5,0
2001.375,6789,6,0
2001.4583,6895,0,0
2001.5417,6813,0,0
2001.625,6918,3,0
2001.7083,6832,2,0
2001.9583,6970,7,0
2002.0417,6895,0,0
2002.125,6845,0,0
2002.2083,6917,0,0
2002.2917,6928,0,0
2002.375,6907,0,0
2002.4583,6910,0,0
2002.5417,6897,0,0
2002.9583,6970,7,0
2003.375,6905,11,0
2003.4583,6878,0,0
2003.5417,6916,0,0
2003.625,6851,0,0
2003.7083,6840,2,0
2004.2917,6965,0,0
2004.375,6939,3,0
2004.7083,6938,3,0
2005.2083,6984,2,0
2005.2917,6986,0,0
2005.375,6927,0,0
2005.4583,6840,0,0
2005.5417,6728,0,0
2005.625,6744,0,0
2005.7083,6895,0,0
2005.7917,6820,7,0
2005.875,6817,13,0
2005.9583,6910,0,0
2006.125,6949,0,0
2006.2083,6840,3,0
2006.2917,6776,3,0
2006.375,6861,0,0
2006.4583,6735,0,0
2006.5417,6827,2,0
2006.625,6998,6,0
2006.7083,6975,12,0
2006.875,6869,4,0
2006.9583,6843,0,0
2007.0417,6763,0,0
2007.125,6803,0,0
2007.2917,6876,2,0
2007.375,6896,3,0
2007.4583,6809,0,0
2007.5417,6806,0,0
2007.625,6916,0,0
2008.7917,6804,5,0
2008.875,6962,0,0
2008.9583,6776,0,0
2009.7917,6944,5,0
2009.875,7101,0,0
2009.9583,6922,0,0
2010.0417,7005,0,0
2010.125,6923,0,0
2010.2083,6861,3,0
2010.875,7108,0,0
2010.9583,6989,0,0
2011.0417,6837,0,0
2011.125,7025,0,0
2011.2083,6971,0,0
2011.2917,6886,0,0
2011.4583,7013,14,0
2011.5417,6897,0,0
2011.625,6927,3,0
2011.7083,6874,8,0
2011.7917,6886,0,0
2011.875,6809,0,0
2011.9583,6907,9,0
2012.0417,6884,0,0
2012.125,6924,2,0
2012.2083,6912,3,0
2012.2917,6862,4,0
2012.375,6815,2,0
2012.4583,6810,3,0
2012.5417,6850,3,0
2012.625,6903,4,0
2012.7083,6929,0,0
2012.7917,6897,0,0
2012.875,6899,0,0
2012.9583,6811,0,0
2013.0417,6970,0,0
2013.125,6972,0,0
2013.2083,6858,0,0
2013.2917,6895,0,0
2013.375,6945,0,0
2013.4583,6969,0,0
2013.5417,6868,0,0
2013.625,6795,0,0
2013.7083,6888,0,0
2013.7917,6926,0,0
2013.875,6884,0,0
2013.9583,6919,0,0
2014.0417,6948,0,0
2014.125,6842,0,0
2014.2083,6841,0,0
2014.2917,6984,0,0
2014.375,6935,0,0
2014.4583,6908,0,0
2014.5417,6898,0,0
2014.625,6847,0,0
2014.7083,6941,0,0
2014.7917,6965,0,0
2014.875,6908,0,0
2014.9583,7047,0,0
2015.0417,6906,0,0
2015.125,6880,0,0
2015.2083,6998,0,0
2015.2917,6944,0,0
2015.375,6862,0,0
2015.4583,6907,0,0
2015.5417,6863,0,0
2015.625,7003,0,0
2015.7083,6919,0,0
2015.7917,6901,0,0
2015.875,6976,0,0
2015.9583,6951,0,0
2016.0417,6849,0,0
2016.125,6892,0,0
2016.2083,6996,0,0
2016.2917,6955,0,0
2016.375,6987,0,0
2016.4583,6891,0,0
2016.5417,6892,0,0
2016.625,6913,0,0
2016.7083,6949,0,0
2016.7917,6847,0,0
2016.875,6867,0,0
2016.9583,6846,0,0
2017.0417,6937,0,0
2017.125,6928,0,0
2017.2083,6885,0,0
2017.2917,6895,14,0
2017.4583,6963,0,0
2017.5417,6871,0,0
2017.625,6827,0,0
2017.7083,7016,0,0
2017.7917,6976,0,0
2017.875,6871,0,0
2017.9583,6903,0,0
2018.0417,6813,0,0
2018.125,6929,0,0
2018.2083,6958,0,0
2018.2917,6831,0,0
2018.375,6934,0,0
2018.4583,6880,0,0
2018.5417,6842,0,0
2018.625,6859,0,0
2018.7083,6982,0,0
2018.7917,6909,0,0
2018.875,6970,0,0
2018.9583,6990,0,0
