Year,Value_mm,Flag1,Flag2
1951.875,3897,1,0
1951.9583,3845,2,0
1952.0417,3729,2,0
1952.125,3638,0,0
1952.2083,3718,0,0
1952.2917,3727,0,0
1952.375,3812,2,0
1953.0417,3060,0,0
1953.125,3106,0,0
1953.2083,3063,0,0
1953.2917,3060,0,0
1953.375,3139,0,0
1953.4583,3167,0,0
1953.5417,3146,0,0
1953.625,3100,0,0
1953.7083,3103,0,0
1953.7917,3158,0,0
1953.875,3121,0,0
1953.9583,3088,0,0
1954.0417,3054,0,0
1954.125,2929,0,0
1954.2083,2950,0,0
1954.2917,3008,0,0
1954.375,3075,0,0
1954.4583,3106,0,0
1954.5417,3085,0,0
1954.625,3057,0,0
1954.7083,3054,0,0
1954.7917,3045,0,0
1954.875,3085,0,0
1954.9583,3069,0,0
1955.0417,3054,0,0
1955.125,3057,0,0
1955.2083,2941,0,0
1955.2917,3078,0,0
1955.375,3072,0,0
1955.4583,3103,0,0
1955.5417,3072,0,0
1955.625,3075,0,0
1955.7083,3057,0,0
1955.7917,3033,0,0
1955.875,3036,0,0
1955.9583,3027,0,0
1956.0417,2966,0,0
1956.125,3054,0,0
1956.2083,2990,0,0
1956.2917,3069,0,0
1956.375,3103,0,0
1956.4583,3121,0,0
1956.5417,3091,0,0
1956.625,3048,0,0
1956.7083,3069,0,0
1956.7917,3057,0,0
1956.875,3045,0,0
1956.9583,3030,0,0
1957.0417,3045,0,0
1957.125,3042,0,0
1957.2083,3039,0,0
1957.2917,3127,0,0
1957.375,3188,0,0
1957.4583,3213,0,0
1957.5417,3179,0,0
1957.625,3130,0,0
1957.7083,3118,0,0
1957.7917,3124,0,0
1957.875,3216,0,0
1957.9583,3200,0,0
1958.0417,3164,99,0
1958.125,3051,99,0
1958.2083,3027,0,0
1958.2917,3057,0,0
1958.375,3115,0,0
1958.4583,3124,0,0
1958.5417,3152,0,0
1958.625,3130,0,0
1958.7083,3121,0,0
1958.7917,3127,0,0
1958.875,3109,0,0
1958.9583,3124,0,0
1959.0417,3170,0,0
1959.125,3082,0,0
1959.2083,3045,0,0
1959.2917,3075,0,0
1959.375,3094,0,0
1959.4583,3112,0,0
1959.5417,3103,0,0
1959.625,3109,0,0
1959.7083,3109,0,0
1959.7917,3127,0,0
1959.875,3136,0,0
1959.9583,3139,0,0
1960.0417,3097,0,0
1960.125,3069,0,0
1960.2083,3024,0,0
1960.2917,3027,0,0
1960.375,3118,0,0
1960.4583,3139,0,0
1960.5417,3109,0,0
1960.625,3103,0,0
1960.7083,3088,0,0
1960.7917,3082,0,0
1960.875,3112,0,0
1960.9583,3106,0,0
1961.0417,3082,0,0
1961.125,2963,0,0
1961.2083,2999,0,0
1961.2917,3045,0,0
1961.375,3109,0,0
1961.4583,3121,0,0
1961.5417,3109,0,0
1961.625,3118,99,0
1961.7083,3075,99,0
1961.7917,3072,0,0
1961.875,3097,0,0
1961.9583,3115,0,0
1962.0417,3085,0,0
1962.125,2938,0,0
1962.2083,2908,0,0
1962.2917,3054,0,0
1962.375,3094,0,0
1962.4583,3136,0,0
1962.5417,3118,0,0
1962.625,3082,0,0
1962.7083,3127,0,0
1962.7917,3069,0,0
1962.875,3078,0,0
1962.9583,3011,0,0
1963.0417,3139,0,0
1963.125,3146,0,0
1963.2083,3078,0,0
1963.2917,3048,0,0
1963.375,3115,0,0
1963.4583,3149,0,0
1963.5417,3146,0,0
1963.625,3139,0,0
1963.7083,3133,0,0
1963.7917,3155,0,0
1963.875,3170,0,0
1963.9583,3182,0,0
1964.0417,3082,0,0
1964.125,3030,99,0
1964.2083,3011,0,0
1964.2917,2944,0,0
1964.375,3091,0,0
1964.4583,3021,0,0
1964.5417,3075,0,0
1964.625,3066,0,0
1964.7083,3036,0,0
1964.7917,3054,0,0
1964.875,3045,0,0
1964.9583,3036,0,0
1965.0417,3048,0,0
1965.125,3115,0,0
1965.2083,3094,0,0
1965.2917,3018,99,0
1965.375,3109,99,0
1965.4583,3130,99,0
1965.5417,3152,99,0
1965.625,3136,0,0
1965.7083,3158,0,0
1965.7917,3133,0,0
1965.875,3167,0,0
1965.9583,3194,0,0
1966.0417,3127,0,0
1966.125,3024,0,0
1966.2083,2935,0,0
1966.2917,3011,0,0
1966.375,3063,0,0
1966.4583,3082,0,0
1966.5417,3085,0,0
1966.625,3048,0,0
1966.7083,3039,0,0
1966.7917,3103,0,0
1966.875,3085,0,0
1966.9583,3060,99,0
1967.0417,3030,99,0
1967.125,2960,0,0
1967.2083,2902,0,0
1967.2917,2917,0,0
1967.375,3082,0,0
1967.4583,3094,0,0
1967.5417,3075,0,0
1967.625,3036,99,0
1967.7083,3030,99,0
1967.7917,3033,0,0
1967.875,3021,0,0
1967.9583,3036,0,0
1968.0417,2999,0,0
1968.125,2914,0,0
1968.2083,2896,0,0
1968.2917,2978,0,0
1968.375,3036,0,0
1968.4583,3075,0,0
1968.5417,3106,0,0
1968.625,3066,0,0
1968.7083,3063,0,0
1968.7917,3100,0,0
1968.875,3109,0,0
1968.9583,3085,0,0
1969.0417,3051,0,0
1969.125,3008,0,0
1969.2083,3054,0,0
1969.2917,3124,0,0
